1,Eslite Xinyi Store 誠品書店信義旗艦店,"Opened in 2006, the 8,000-square meter Xinyi District bookstore is Taiwan's largest bookstore and carries a wide selection of books. The bookstore is divided into subjects for easy browsing. Readers are welcome to read books in designated areas.
10:00 - 02:00 (Fri-Sat)
10:00 - 00:00 (Sun-Thu)","No. 11, Songgao Rd., Xinyi Dist., Taipei City Taiwan, R.O.C",Taipei City Hall,https://www.travel.taipei/en/shop/details/560,
2,Taiwan Handicraft Promotion Center 國家文創禮品館,"The Taiwan Handicraft Promotion Center is housed in a plain looking white building, but the displays inside are anything but pedestrian. The center exhibits and sells Taiwan's most extensive selection of fine traditional handicrafts, making it easy to find that perfect gift for home.
09：00~18：00; Closed during the Lunar New Year holiday","No. 1, Xuzhou Rd., Zhongzheng Dist., Taipei City Taiwan, R.O.C",NTU Hospital,https://www.travel.taipei/en/shop/details/588,
3,Sporting Goods Street: Xinyi Road Sections 3 & 4 運動商品街-信義路3、4段,Varies by shop,"Xinyi Road, Da'an Dist., Taipei City Taiwan, R.O.C",Technology Building,https://www.travel.taipei/en/shop/details/566,
4,Vie Show Cinemas - Taipei Xinyi 威秀影城,"Vie Show Cinemas Taipei Xinyi is a fantastic choice for those who wish to enjoy a great movie amid their hectic schedules. To meet the audience’s need for audio-visual enjoyments, it employed the latest technologies to establish a revolutionary set of standards for multiplex design, which is a milestone in Taiwan’s cinema history. The 17 theaters were created by a renowned interior designer and equipped with ultra large, wide and curved screens, as well as the auditorium seating that ensures a spaciousness and comfort in a barrier-free manner. The only THX-certified Taiwanese theater, Vie Show Cinemas Taipei Xinyi presents a world-class sound system to people in northern Taiwan.
 
 Each elaborately designed, tall-back couch seat in the theaters comes with a separate cup holder for beverage containers or popcorn cups. For a romantic twist, all the seats have adjustable arms and can be converted into couple seats.
Business hours subject to movie schedules","2/F, No. 20, Songshou Rd., Xinyi Dist., Taipei City Taiwan, R.O.C",Xiangshan,https://www.travel.taipei/en/shop/details/586,
5,SihPing St. Shopping Area 四平陽光商圈,"Ganzhou Street is located in the historic Dadaocheng district. This area has historically occupied an important place in Taiwan's tea trade. While many of the tea merchants of old are now gone, it remains a good place to shop for and enjoy some of the world's best tea.","SihPing St, Zhongshan Dist., Taipei City Taiwan, R.O.C",Songjiang Nanjing,https://www.travel.taipei/en/shop/details/589,
6,Kao chi (YongKang) 高記 (永康店),"Fried Pork Buns has become Kao Chi’s hot selling snack since 1949, the secret of hot selling is the natural fermented old dough; therefore, the crust is chewy in taste. When fried pork buns is ordered, Kao Chi will prepare a small pan to fry buns in front of customers, so that, customers can taste the hot, fresh and delicious snack. Others like ""Crispy Pastry of Crab Shell Cake"", ""Roasted Cucian Crap with Green Onion"", ""Mung Beans Vermicelli in Soup with Oil Tofu"" and so on are also traditional taste. Many officials choose ""Kao Chi"" to feasted foreign guests and that result in a trend of Shanghai style dessert in Taipei.
Mon~Fri 10:00 to 22:30; Weekends 08:30 to 22:30(ordering before 22:0
0)","No. 1, Yongkang St., Da'an Dist., Taipei City Taiwan, R.O.C",Dongmen,https://www.travel.taipei/en/shop/details/567,
7,Chia Te Bakery 佳德糕餅,"Daily 07:30-21:30
The bakery's winning entry is a distinctive-tasting variation of traditional pineapple cake made with cranberries and wheat germ.","No.88, Sec. 5, Nanjing E. Rd., Songshan Dist., Taipei City Taiwan, R.O.C",Nanjing Sanmin,https://www.travel.taipei/en/shop/details/549,
8,Taipei Tea Promotion Center 臺北市鐵觀音包種茶研發推廣中心,09:00 - 17:00 (Tue ~ Sun),"No. 8-2, Lane 40, Sec. 3, Zhinan Rd., Wenshan Dist., Taipei City Taiwan, R.O.C",,https://www.travel.taipei/en/shop/details/591,
9,Dai Shui Lou 點水樓(南京店),"A lot of literator also are connoisseurs of culinary art, and Dian Shui Lou's specialist is making the cuisines out of those literators' novels. As a Jiangsu-Zhejiang style Chinese restaurant, Dian Shui Lou not only provides gourmet cuisines but also tries to keep Chinese dining literature and make it alive in the modern world. So when you are enjoying the famous Steam Dumplings with Minced Pork & Crab Roe Meat in Dian Shui Lou, you're actually experiencing the subtle Chinese dining culture.
Daily am11:00-14:30；pm17:30-22:00","1F., No.61, Sec. 4, Nanjing E. Rd., Songshan Dist., Taipei City Taiwan, R.O.C",Taipei Arena,https://www.travel.taipei/en/shop/details/584,
10,Shin Kong Mitsukoshi Xinyi New Life Square 新光三越（信義天地）,"Xinyi District forms the nexus of Taipei's new shopping attractions. The Xinyi New Life Square is divided into theme halls that take care of consumers' shopping dining, and entertainment needs. Attractively designed store displays make this place an exciting shopping environment.
11:00-21:30","No. 11, Songshou Rd., Xinyi Dist., Taipei City Taiwan, R.O.C",Xiangshan,https://www.travel.taipei/en/shop/details/572,
11,688 Beef Bowl 牛爸爸牛肉麵店,Daily 11:00-21:00,"No.149, Sec. 6, Minquan E. Rd., Neihu Dist., Taipei City Taiwan, R.O.C",,https://www.travel.taipei/en/shop/details/553,
12,Pacific SOGO Department Store SOGO百貨,"Taiwan's first SOGO Department Store, the Zhongxiao store sports a Tokyo-made.＂It is Samll World＂ clock above the front gate. The store targets consumers of all ages and interests and is connected to Zhongxiaofuxing subway station and the underground shopping street.
 The Fuxing store specializes in name brands and luxury goods. Spacious shopping floors aim to provide a more comfortable and abundantly stocked shopping arena. Renown architect Li Zuyuan designed the store's green exterior to express the department store's aspiration to become Taipei ＂City Jade＂.
Sun.-Thu. 11:00-21:30, Fri.-Sat. 11:00-22:00","No. 45, Sec. 4, Zhongxiao E. Rd., Da'an Dist., Taipei City Taiwan, R.O.C",Zhongxiao Fuxing,https://www.travel.taipei/en/shop/details/555,
13,The Mall 遠企購物中心,"The Mall is a western-style shopping center offering hundreds of internationally well-known brands. The pleasant mall interior features ample sunlight, trees and an artificial stream.
Sun~Thu. Am11:00-Pm21:30, Fri.~Sat. Am11:00-Pm22:00","No.32, Baoqing Rd., Da'an Dist., Taipei City Taiwan, R.O.C",Liuzhangli,https://www.travel.taipei/en/shop/details/585,
14,Hankou Street - Photography Street 博愛路、漢口街-相機街,"Hankou Street has the highest density of photography stores in Taiwan. The world famous Photography Street has been helping to realize photographers' dreams and aspirations for over 40 years. Stores offer cameras, camera accessories, and photography manuals for any budget.
備註事項:MRT Taipei Main Station or Ximen Station - On foot 10 min.","BoAi Rd. between ZhongXiao W. Rd. and HanKou St., and Sec.1 HanKou St., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Jiannan Rd.,https://www.travel.taipei/en/shop/details/569,
15,CPCity Living Mall 京華城 Living Mall,"Nearly a thousand shops are located in the capacious Living Mall. The mall has a giant sphere structure that in conjunction with the building's L-shaped design suggests the traditional motif of two dragons holding a pearl. It rises 15 floors with high ceilings that add to the spacious feel of this Taipei landmark destination.
Shops: Sun~Thurs 11:00~21:30; Fri, Sat and days before holidays 11:00 to 22:30; B3 Food Court: Sun~Thurs 11:00 to 22:00, Fri, Sat and days before holidays 11:00 to 22:30","No. 138, Sec. 4, Bade Rd., Songshan Dist., Taipei City Taiwan, R.O.C",Nanjing Sanmin,https://www.travel.taipei/en/shop/details/593,
16,Guanghua Market-Consumer Electronics 光華數位新天地,10:00~21:00,"No.8, Sec. 3, Civic Blvd., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Zhongxiao Xinsheng,https://www.travel.taipei/en/shop/details/551,
17,Breeze Center 微風廣場,"Breeze Center is Taipei's first American-style shopping mall that combines shopping, entertainment, and dining areas in one place. Comfortably designed spaces and well-lighted interior make for a relaxing shopping environment.
After Anniversary Celebrates: Sunday-Wednesday 11:00-21:30, Thursday-Saturday and the night before holiday: 11:00-22:00","No.39, Sec.1, 3, Fuxing S. Rd., Songshan Dist., Taipei City Taiwan, R.O.C",Zhongxiao Fuxing,https://www.travel.taipei/en/shop/details/571,
18,Yongkang Beef Noodle Soup Restaurant 永康牛肉麵館,"If you are entertaining someone hard to please, Yongkang Beef Noodle Soup Restaurant, the favorite of Taipei residents, is the place to go. Its Sichuan-style hot and spicy soup with huge chunks of beef—cooked just to perfection—leaves everyone satisfied. Besides having a large variety of side dishes, the restaurant also serves steamed spare ribs and steamed intestines—another must try! (My Taipei - 2005 Winter)
Daily 11:00~21:30","#17, Lane 31, Jinshan S. Rd., Sec.2, Da'an Dist., Taipei City Taiwan, R.O.C",Dongmen,https://www.travel.taipei/en/shop/details/597,
19,Miramar Entertainment Park,"The Entertainment Park is divided into main hall and auxiliary hall. The main hall specializes in formal wear and fine apparel. The auxiliary hall offers the latest trends in youth fashion. Also, the giant Ferris wheel and IMAX Theater are not to be missed.
Daily11:00~22:00","No. 20, Jingye 3rd Rd., Zhongshan Dist., Taipei City Taiwan, R.O.C",Jiannan Rd.,https://www.travel.taipei/en/shop/details/563,
20,Nanjichang Night Market 南機場夜市,Hours: 05:00~24:00,"Zhonghua Rd. Sec. 2, between Alleys No. 307 and 315, Zhongzheng Dist., Taipei City Taiwan, R.O.C",Xiaonanmen,https://www.travel.taipei/en/shop/details/590,
21,"Shilin Cutter(no stock right now, please contact us) 士林刀(手工刀無現貨，請來電預定)","A Shilin Cutter is a special type of foldable pocketknife with an eggplant-shaped handle and bamboo-leaf shaped blade. Invented during the Qing period, the knife was originally called a ""Pachiran knife"" after the Japanese period name for Shilin District, the place of its manufacture. Its current name dates back to the end of World War II. Available in various sizes and designs, this sturdy and sharp pocketknife makes a perfect and practical souvenir.
Daily 09:30 to 22:00; Closed for three days from Lunar New Year Eve","No.74, Dabei Rd., Shilin Dist., Taipei City Taiwan, R.O.C",Shilin,https://www.travel.taipei/en/shop/details/592,
22,Lao Mian Cheng Lantern Shop 老綿成燈籠,"Lao Mian Cheng first opened its doors on Dihua Street nearly a century ago. The shop originally sold spirit money (burned for offerings) before turning to the lantern trade. Customers can choose from a wide variety of beautifully hand-painted lanterns. The collapsible paper lanterns also make easy-to-pack gifts for home.
Daily 09:00 to 20:00 (Sunday to 18:00)","No. 298, Sec. 1, Dihua St., Datong Dist., Taipei City Taiwan, R.O.C",Daqiaotou,https://www.travel.taipei/en/shop/details/612,
23,Artland Book Company 亞典藝術書店,"Mon.-Fri.:10:00 - 21:00
Sat.-Sun.:11:30 - 21:00","B1F., No.122, Sec. 3, Ren’ai Rd., Da'an Dist., Taipei City Taiwan, R.O.C",Zhongxiao Fuxing,https://www.travel.taipei/en/shop/details/634,
24,Sheng Ta Chuang,"Family run for two generations, Sheng Ta Chuang is a long-time promoter of calligraphy in Taipei. The company started as a calligraphy supply store and its calligraphy classes have inducted many a student into this art form. In addition to the calligraphy school, the company has established a museum, gallery and auction house for calligraphy and art.
Daily 10:30 to 20:30, Closed for four days from Lunar New Year's Eve","No. 25 and No. 27, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City Taiwan, R.O.C",Taipei Main Station,https://www.travel.taipei/en/shop/details/618,
25,Hong Shihfu Beef Noodles 洪師父牛肉麵,"The owner of this 20-plus-year-old eatery approaches the dining experience with equal shares of fastidiousness and heart. Years of culinary experience and strictly selected choice beef combine to create some of Taipei's most distinctive tasting beef noodles. Hong Shihfu took second place in the 2006 Taipei International Newrow Mian Festival and it came home from the 2007 festival with a double crown.Beef noodles aside, Hong Shihfu is also known for its scallion steamed buns, butter steamed buns, beef wraps and other treats. The house soymilk and coix seed milk are super thick, healthy and packed with flavor.
Mon.-Sun. 11:00~24:00","No.72, Sec. 2, Jianguo N. Rd., Zhongshan Dist., Taipei City Taiwan, R.O.C",Songjiang Nanjing,https://www.travel.taipei/en/shop/details/603,
26,FAYAQUE 法雅客,"With products ranging from computers and cell phones to CDs and books, the Taipei stores of French retailer Fnac add a cultural note to the shopping experience.
Sun~Thurs 11:00 to 21:30; Fri, Sat and day before holidays 11:00 to 22:00","B2, No. 9, Songshou Rd., Xinyi Dist., Taipei City Taiwan, R.O.C",Taipei City Hall,https://www.travel.taipei/en/shop/details/606,
